id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 07:00:00;37456.375;7715.764;5227.972;21485.566;71885.68;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 07:00:00;23663.362;5438.737;10.28399999;10523.22;41208.651;-1573.048
S;SUL;2026-01-02 07:00:00;7996.317;166.351;79.001;1778.963;10952.892;-932.26
NE;NORDESTE;2026-01-02 08:00:00;1818.63699999;547.949;4855.6;9418.35;12883.631;3756.905
N;NORTE;2026-01-02 08:00:00;3904.628;1525.43099999;79.875;1196.65;7529.995;-823.41099999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 08:00:00;34075.26;7646.576;5122.999;28263.456;75108.29;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 08:00:00;21419.70799999;5410.54999999;24.452;14743.33799999;43034.079;-1436.031
S;SUL;2026-01-02 08:00:00;6932.28699999;162.646;163.072;2905.118;11660.586;-1497.463
NE;NORDESTE;2026-01-02 09:00:00;1808.767;554.716;4131.82999999;10194.543;12781.148;3908.70799999
N;NORTE;2026-01-02 09:00:00;3580.936;1485.769;188.276;1640.06899999;7698.275;-803.22499999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 09:00:00;31858.774;7608.175;4627.686;32812.406;76907.04;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 09:00:00;19936.89499999;5402.48799999;11.053;16869.92199999;44341.89199999;-2121.534
S;SUL;2026-01-02 09:00:00;6532.176;165.202;296.527;4107.87199999;12085.72599999;-983.949
NE;NORDESTE;2026-01-02 10:00:00;1822.972;558.939;3266.269;10700.348;12979.657;3368.871
N;NORTE;2026-01-02 10:00:00;3382.405;1474.882;188.242;1913.067;7705.401;-746.80499999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 10:00:00;31413.11;7564.189;3733.942;35856.746;78567.99;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 10:00:00;19941.88399999;5381.318;31.831;18399.471;45559.37999999;-1804.87599999
S;SUL;2026-01-02 10:00:00;6265.849;149.05;247.6;4843.85999999;12323.549;-817.19
NE;NORDESTE;2026-01-02 11:00:00;1808.252;560.635;3140.47299999;11127.016;13158.954;3477.422
N;NORTE;2026-01-02 11:00:00;3571.16099999;1479.33399999;219.216;2010.207;7939.572;-659.654
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 11:00:00;31945.122;7562.592;3639.994;36810.628;79958.34;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 11:00:00;20020.64099999;5372.507;45.678;18672.419;46142.426;-2031.181
S;SUL;2026-01-02 11:00:00;6545.06799999;150.11599999;234.627;5000.986;12717.38399999;-786.587
NE;NORDESTE;2026-01-02 12:00:00;1797.035;555.812;3472.984;11484.05399999;12858.93799999;4450.947
N;NORTE;2026-01-02 12:00:00;3459.558;1474.067;238.9;1996.098;8035.659;-867.036
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 12:00:00;31800.72;7538.806;4131.914;36046.94;79518.38;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 12:00:00;20349.65799999;5348.81;49.425;17365.084;45539.927;-2426.94999999
S;SUL;2026-01-02 12:00:00;6194.469;160.11699999;370.605;5201.704;13083.856;-1156.961
